Country,Dominant Color (RGB)
ne,"(162, 161, 87)"
eu,"(7, 55, 148)"
us,"(186, 126, 143)"
be,"(164, 89, 33)"
eh,"(93, 97, 81)"
vi,"(222, 217, 200)"
pw,"(45, 171, 209)"
gw,"(149, 127, 43)"
dm,"(63, 109, 63)"
gb-sct,"(105, 160, 213)"
rs,"(170, 132, 145)"
bn,"(202, 178, 70)"
cc,"(25, 137, 0)"
ma,"(187, 40, 45)"
vn,"(220, 51, 27)"
ck,"(53, 60, 119)"
sj,"(160, 60, 93)"
li,"(108, 33, 78)"
lr,"(199, 116, 141)"
wf,"(199, 41, 61)"
ae,"(127, 92, 75)"
by,"(147, 64, 47)"
ss,"(79, 98, 80)"
sv,"(81, 130, 195)"
nu,"(230, 193, 33)"
bq,"(120, 137, 163)"
eg,"(152, 88, 93)"
lv,"(176, 78, 93)"
th,"(151, 104, 123)"
gl,"(227, 135, 150)"
tv,"(50, 145, 191)"
pa,"(179, 134, 150)"
bg,"(156, 147, 127)"
fj,"(122, 156, 193)"
cn,"(238, 33, 36)"
iq,"(147, 87, 92)"
bj,"(145, 121, 52)"
sd,"(123, 85, 83)"
kg,"(255, 19, 0)"
hr,"(175, 89, 131)"
ge,"(255, 162, 162)"
na,"(86, 94, 94)"
pk,"(80, 124, 99)"
co,"(177, 118, 45)"
ru,"(156, 118, 150)"
hn,"(83, 209, 236)"
cy,"(248, 240, 229)"
sz,"(159, 112, 108)"
au,"(51, 55, 116)"
gr,"(118, 164, 209)"
aw,"(89, 150, 196)"
gd,"(162, 106, 48)"
at,"(218, 95, 115)"
gt,"(130, 182, 218)"
cd,"(73, 116, 180)"
ao,"(109, 13, 22)"
ug,"(161, 83, 11)"
ls,"(93, 145, 154)"
mr,"(96, 115, 62)"
am,"(152, 72, 59)"
kh,"(110, 42, 114)"
bl,"(228, 220, 213)"
re,"(122, 92, 165)"
ca,"(255, 92, 92)"
bd,"(51, 92, 75)"
io,"(130, 129, 157)"
kz,"(21, 176, 181)"
ad,"(159, 73, 74)"
gb-wls,"(146, 147, 119)"
kr,"(214, 208, 215)"
mv,"(143, 54, 56)"
um,"(186, 126, 143)"
gb-nir,"(240, 192, 191)"
ki,"(174, 94, 96)"
er,"(148, 90, 87)"
mk,"(226, 97, 40)"
ax,"(102, 111, 102)"
la,"(124, 46, 83)"
br,"(47, 153, 57)"
